,class,predicted,top_10_tokens
0,2,8,"['管理', '资产', '规模', '投资', '顾问', '合晟资产', '股票型', '债券型', '80亿元', '中国证券投资基金业协会', '私募证券投资基金', '50亿元', '梯队', '股票', '二级市场', '私募基金', '总资产', '债券', '证券投资', '投资者', '基金', '合格', '第一', '业务范围', '较大', '计划', '处于', '数据', '咨询', '专注', '企业', '类']"
1,2,2,"['工商户', '个体', '小微企业', '贷款', '农户', '设立', '变化', '发生', '中', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
2,1,8,"['商业地产', '招商', '电子商务', '商业', '运管', '住宅类', '麦吉铺', '策划', '导流', '线下服务', '代理', '销售代理', '一整套', '运营', '业务', '顾问', '板块', '全产业链', '线上', '电商', '定位', '立足于', '增值', '方式', '覆盖', '营销', '模式', '创新', '互联网', '销售', '管理', '开发']"
3,2,6,"['咨询', '策划', '公共关系策划', '社会经济', '文化交流', '工商管理部门', '投资者', '批准', '会展', '上市公司', '图文', '企业形象', '4754', '顾问', '服务业', '商务', '企业管理', '关系', '经济', '分类', '国民经济行业分类', '核准', '投资', '2011', '推广', '后方', '品牌', '须经', '依法', '信息', '部门', '活动']"
4,2,3,"['投保', '保险产品', '保险公司', '个人保险', '人身保险', '中国人民人寿保险股份有限公司', '中德安联人寿保险有限公司', '中英人寿保险有限公司', '阳光人寿保险股份有限公司', '中意人寿保险有限公司', '同方全球人寿保险有限公司', '中国泰康人寿保险股份有限公司', '保险理赔', '千余种', '保全', '财产保险', '保单', '团体', '数十家', '代理', '需求分析', '能力', '境内', '保险代理', '受众', '紧密', '为其', '最终', '制定', '一站式', '销售', '专业化']"
5,1,8,"['承租', '商业物业', '物业', '租赁', '更优', '商铺', '租金', '740', '550', '站点', '业态', '商业价值', '经营权', '出租', '附属', '21', '营业收入', '建筑物', '运营', '收益', '地铁', '管理', '空间', '轨道交通', '定位', '改造', '消费者', '经审计', '规划', '商业', '方式', '利用']"
6,2,5,"['融资', '小额信贷', '江宁区', '个体经营者', '市场经济', '小微企业私募债', '南京市', '融资性担保', '小额贷款', '小微企业', '主体', '服务供应商', '位于', '需求', '专注', '期内', '报告', '变化', '解决方案', '发生', '成立', '中', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
7,1,10,"['招商', '商业地产', '长沙市住房和城乡建设委员会', '房地产经纪机构', '专业型', '下发', '项目前期', '长沙市', '地产商', '中期', '营销代理', '市场调研', '持有', '提供服务', '备案', '经纪', '后期', '营销策划', '项目', '开发商', '承接', '证书', '商业', '资质', '具备', '内容', '代理', '咨询', '批准', '业务', 'UNKNOWN', 'UNKNOWN']"
8,2,9,"['基金', '拥湾资产', '集团', '创投', '人民币', '投资', '青岛拥湾资产管理集团股份有限公司', '834606', '11178万元', '六年多', '天使基金', '并购基金', '夹层基金', '10亿元', '2009年7月', '多支', '态度', '股票代码', '之称', '发展', '几十家', '注册地', '东方', '注册资本金', '美元', '债券', '开设', '私募股权投资基金', '严谨', '瑞士', '济南', '海内外']"
9,1,1,"['物业管理', '794', '471', '392', '智慧社区', '73', '48', '70', '客户群', '新兴', '立足', '9月', '物联网', '开拓', '超过', '现有', '比例', '大数据', '传统', '业务', '技术', '发生变化', '2013年', '2014年', '营业收入', '2015年', '主营业务收入', '平台', '发展', '成立', '份', '055.08元']"
10,1,5,"['洗染', '扩印', '房地产居间', '家政服务', '房地产代理', '摄影', '蔬菜', '清洁', '粮食', '物业管理', '广告', '建筑', '制作', '发布', '代理', '各类', '国内', '设计', '销售', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
11,2,7,"['投资', '所属', '金融业', '管理', '23号', '行业', '公告', '股转系统', '资产', '2015', '房地产', '分析判断', '私募基金管理人', '16111013', '不动产', '兼具', '经验', '资本', '受托', '顾问', '专家', '挂牌公司投资型行业分类指引', '领域', '自有', '挂牌公司管理型行业分类指引', '成功', '国民经济行业分类', '修订', '长期', '上市公司行业分类指引', '2011', '2012年']"
12,1,10,"['房地产', '顾问', '精进', '舟山', '两地', '房地产业', '房地产代理', '基石', '独具', '共赢', '宁波', '市场份额', '致力', '浙江', '策略', '开发商', '较大', '国家标准', '竞争力', '秉承', '服务商', '中国证监会', '策划', '机构', '国民经济行业分类', '修订', '理念', '上市公司行业分类指引', '2011', '营销', '发布', '2012年']"
13,1,9,"['物业', '物业管理优秀大厦', '萧山', '大厦', '萧山区', '单位', '杭州市', '常务理事', '诚信', '评为', '杭州市物业管理协会', '萧山区物业管理协会', '浙商全国理事会', '萧山商会', '杭州市工会', '责任感', '常务', '大楼', '首届', '现为', '就业', '职工', '先进单位', '国家一级', '示范基地', '中高档', '政府机关', '满意', '副会长', '写字楼', '高档', '企业']"
14,1,8,"['房地产', '不动产', '传统', '使用价值', '910', '业务', '比重', '营销', '深耕细作', '379', '营销代理', '领先者', '后端', '既有', '更好地', '61', '25', '营业收入', '2015年', '力度', '主营业务收入', '运营', '占据', '顾问', '加大', '运作', '开发商', '资产', '交易', '努力', '竞争', '成熟']"
